variable_1,variable_2,correlation
bio01_annual_mean_temperature,bio01_annual_mean_temperature,1
bio04_temperature_seasonality,bio01_annual_mean_temperature,-0.8462650015128673
bio12_annual_precipitation,bio01_annual_mean_temperature,0.39914794019485317
bio15_precipitation_seasonality,bio01_annual_mean_temperature,0.23108251047252382
bio01_annual_mean_temperature,bio04_temperature_seasonality,-0.8462650015128673
bio04_temperature_seasonality,bio04_temperature_seasonality,1
bio12_annual_precipitation,bio04_temperature_seasonality,-0.4865916294006569
bio15_precipitation_seasonality,bio04_temperature_seasonality,-0.26600642887578846
bio01_annual_mean_temperature,bio12_annual_precipitation,0.39914794019485317
bio04_temperature_seasonality,bio12_annual_precipitation,-0.4865916294006569
bio12_annual_precipitation,bio12_annual_precipitation,1
bio15_precipitation_seasonality,bio12_annual_precipitation,-0.5053910893216716
bio01_annual_mean_temperature,bio15_precipitation_seasonality,0.23108251047252382
bio04_temperature_seasonality,bio15_precipitation_seasonality,-0.26600642887578846
bio12_annual_precipitation,bio15_precipitation_seasonality,-0.5053910893216716
bio15_precipitation_seasonality,bio15_precipitation_seasonality,1
