full.name,PA,run,algo,metric.eval,cutoff,sensitivity,specificity,calibration,validation,evaluation
Aedes.aegypti_PA1_RUN1_GLM,PA1,RUN1,GLM,TSS,354,86.406,53.625,0.401,0.379,NA
Aedes.aegypti_PA1_RUN1_GLM,PA1,RUN1,GLM,AUCroc,504.5,72.969,65.625,0.757,0.743,NA
Aedes.aegypti_PA1_RUN1_GBM,PA1,RUN1,GBM,TSS,533,74.844,80.875,0.559,0.367,NA
Aedes.aegypti_PA1_RUN1_GBM,PA1,RUN1,GBM,AUCroc,532.5,75,80.875,0.857,0.748,NA
Aedes.aegypti_PA1_RUN1_RF,PA1,RUN1,RF,TSS,483,97.969,98.375,0.963,0.36,NA
Aedes.aegypti_PA1_RUN1_RF,PA1,RUN1,RF,AUCroc,484,97.969,98.375,0.999,0.746,NA
Aedes.aegypti_PA1_allRun_GLM,PA1,allRun,GLM,TSS,377,85.875,55.4,0.413,NA,NA
Aedes.aegypti_PA1_allRun_GLM,PA1,allRun,GLM,AUCroc,489.5,75.375,62.9,0.75,NA,NA
Aedes.aegypti_PA1_allRun_GBM,PA1,allRun,GBM,TSS,507,79.625,75,0.545,NA,NA
Aedes.aegypti_PA1_allRun_GBM,PA1,allRun,GBM,AUCroc,508.5,79.625,75.1,0.845,NA,NA
Aedes.aegypti_PA1_allRun_RF,PA1,allRun,RF,TSS,494,98,99,0.97,NA,NA
Aedes.aegypti_PA1_allRun_RF,PA1,allRun,RF,AUCroc,479,98.625,98.3,0.999,NA,NA
Aedes.aegypti_allData_allRun_GLM,allData,allRun,GLM,TSS,377,85.875,55.4,0.413,NA,NA
Aedes.aegypti_allData_allRun_GLM,allData,allRun,GLM,AUCroc,489.5,75.375,62.9,0.75,NA,NA
Aedes.aegypti_allData_allRun_GBM,allData,allRun,GBM,TSS,507,79.625,75,0.545,NA,NA
Aedes.aegypti_allData_allRun_GBM,allData,allRun,GBM,AUCroc,508.5,79.625,75.1,0.845,NA,NA
Aedes.aegypti_allData_allRun_RF,allData,allRun,RF,TSS,494,98,99,0.97,NA,NA
Aedes.aegypti_allData_allRun_RF,allData,allRun,RF,AUCroc,479,98.625,98.3,0.999,NA,NA
