full.name,PA,run,algo,expl.var,rand,var.imp
Aedes.aegypti_PA1_RUN1_GLM,PA1,RUN1,GLM,bio01_annual_mean_temperature,1,0.03775799999999996
Aedes.aegypti_PA1_RUN1_GLM,PA1,RUN1,GLM,bio04_temperature_seasonality,1,0.436443
Aedes.aegypti_PA1_RUN1_GLM,PA1,RUN1,GLM,bio12_annual_precipitation,1,0.243336
Aedes.aegypti_PA1_RUN1_GLM,PA1,RUN1,GLM,bio15_precipitation_seasonality,1,0.09937099999999999
Aedes.aegypti_PA1_RUN1_GBM,PA1,RUN1,GBM,bio01_annual_mean_temperature,1,0.195712
Aedes.aegypti_PA1_RUN1_GBM,PA1,RUN1,GBM,bio04_temperature_seasonality,1,0.17807799999999996
Aedes.aegypti_PA1_RUN1_GBM,PA1,RUN1,GBM,bio12_annual_precipitation,1,0.553864
Aedes.aegypti_PA1_RUN1_GBM,PA1,RUN1,GBM,bio15_precipitation_seasonality,1,0.07159800000000005
Aedes.aegypti_PA1_RUN1_RF,PA1,RUN1,RF,bio01_annual_mean_temperature,1,0.296477
Aedes.aegypti_PA1_RUN1_RF,PA1,RUN1,RF,bio04_temperature_seasonality,1,0.464635
Aedes.aegypti_PA1_RUN1_RF,PA1,RUN1,RF,bio12_annual_precipitation,1,0.6307769999999999
Aedes.aegypti_PA1_RUN1_RF,PA1,RUN1,RF,bio15_precipitation_seasonality,1,0.200125
Aedes.aegypti_PA1_allRun_GLM,PA1,allRun,GLM,bio01_annual_mean_temperature,1,0.04800099999999996
Aedes.aegypti_PA1_allRun_GLM,PA1,allRun,GLM,bio04_temperature_seasonality,1,0.43357100000000004
Aedes.aegypti_PA1_allRun_GLM,PA1,allRun,GLM,bio12_annual_precipitation,1,0.222538
Aedes.aegypti_PA1_allRun_GLM,PA1,allRun,GLM,bio15_precipitation_seasonality,1,0.10082999999999998
Aedes.aegypti_PA1_allRun_GBM,PA1,allRun,GBM,bio01_annual_mean_temperature,1,0.20072599999999996
Aedes.aegypti_PA1_allRun_GBM,PA1,allRun,GBM,bio04_temperature_seasonality,1,0.18973099999999998
Aedes.aegypti_PA1_allRun_GBM,PA1,allRun,GBM,bio12_annual_precipitation,1,0.498266
Aedes.aegypti_PA1_allRun_GBM,PA1,allRun,GBM,bio15_precipitation_seasonality,1,0.08253299999999997
Aedes.aegypti_PA1_allRun_RF,PA1,allRun,RF,bio01_annual_mean_temperature,1,0.32841600000000004
Aedes.aegypti_PA1_allRun_RF,PA1,allRun,RF,bio04_temperature_seasonality,1,0.538573
Aedes.aegypti_PA1_allRun_RF,PA1,allRun,RF,bio12_annual_precipitation,1,0.545329
Aedes.aegypti_PA1_allRun_RF,PA1,allRun,RF,bio15_precipitation_seasonality,1,0.233255
Aedes.aegypti_allData_allRun_GLM,allData,allRun,GLM,bio01_annual_mean_temperature,1,0.046296000000000004
Aedes.aegypti_allData_allRun_GLM,allData,allRun,GLM,bio04_temperature_seasonality,1,0.436921
Aedes.aegypti_allData_allRun_GLM,allData,allRun,GLM,bio12_annual_precipitation,1,0.206955
Aedes.aegypti_allData_allRun_GLM,allData,allRun,GLM,bio15_precipitation_seasonality,1,0.09548299999999998
Aedes.aegypti_allData_allRun_GBM,allData,allRun,GBM,bio01_annual_mean_temperature,1,0.21618400000000004
Aedes.aegypti_allData_allRun_GBM,allData,allRun,GBM,bio04_temperature_seasonality,1,0.190952
Aedes.aegypti_allData_allRun_GBM,allData,allRun,GBM,bio12_annual_precipitation,1,0.5175190000000001
Aedes.aegypti_allData_allRun_GBM,allData,allRun,GBM,bio15_precipitation_seasonality,1,0.08353100000000002
Aedes.aegypti_allData_allRun_RF,allData,allRun,RF,bio01_annual_mean_temperature,1,0.32309699999999997
Aedes.aegypti_allData_allRun_RF,allData,allRun,RF,bio04_temperature_seasonality,1,0.53128
Aedes.aegypti_allData_allRun_RF,allData,allRun,RF,bio12_annual_precipitation,1,0.548508
Aedes.aegypti_allData_allRun_RF,allData,allRun,RF,bio15_precipitation_seasonality,1,0.22467800000000004
